"","x"
"1",0.8475
"2",0.8464
"3",0.7945
"4",0.7841
"5",0.7649
"6",0.7645
"7",0.7635
"8",0.7618
"9",0.7589
"10",0.7557
"11",0.7516
"12",0.745
"13",0.745
"14",0.7426
"15",0.7409
"16",0.7376
"17",0.7323
"18",0.7297
"19",0.7283
"20",0.7257
"21",0.7199
"22",0.7183
"23",0.71585
"24",0.7106
"25",0.70425
"26",0.7005
"27",0.7001
"28",0.6969
"29",0.69605
"30",0.6951
"31",0.6945
"32",0.6908
"33",0.6893
"34",0.6873
"35",0.6869
"36",0.6824
"37",0.6822
"38",0.6804
"39",0.6803
"40",0.6799
"41",0.6786
"42",0.6778
"43",0.6761
"44",0.6755
"45",0.6739
"46",0.6693
"47",0.6688
"48",0.668
"49",0.6673
"50",0.6672
"51",0.66695
"52",0.6665
"53",0.6653
"54",0.6651
"55",0.6647
"56",0.66405
"57",0.6639
"58",0.6635
"59",0.6632
"60",0.6612
"61",0.6599
"62",0.65725
"63",0.6562
"64",0.6562
"65",0.656
"66",0.655
"67",0.6547
"68",0.6513
"69",0.6509
"70",0.64945
"71",0.64385
"72",0.641
"73",0.6351
"74",0.6349
"75",0.63485
"76",0.63405
"77",0.62265
"78",0.621
"79",0.6199
"80",0.6108
"81",0.6014
"82",0.60025
"83",0.59795
"84",0.5969
"85",0.5894
"86",0.58925
"87",0.5888
"88",0.5853
"89",0.58125
"90",0.575
"91",0.56745
"92",0.56315
"93",0.5614
"94",0.5567
"95",0.5545
"96",0.55265
"97",0.5
"98",0.5
"99",0.5
