"","x"
"1",0.867833333333333
"2",0.867166666666667
"3",0.853583333333333
"4",0.845166666666667
"5",0.841416666666667
"6",0.829
"7",0.825083333333333
"8",0.824083333333333
"9",0.821166666666667
"10",0.817333333333333
"11",0.813416666666667
"12",0.805833333333333
"13",0.803166666666667
"14",0.802166666666667
"15",0.799
"16",0.798083333333333
"17",0.79775
"18",0.792916666666667
"19",0.792333333333333
"20",0.789666666666667
"21",0.78875
"22",0.7885
"23",0.787333333333333
"24",0.786833333333333
"25",0.783416666666667
"26",0.779583333333333
"27",0.777833333333333
"28",0.7755
"29",0.75975
"30",0.75625
"31",0.752333333333333
"32",0.751083333333333
"33",0.750833333333333
"34",0.746666666666667
"35",0.745333333333333
"36",0.7445
"37",0.7435
"38",0.743416666666667
"39",0.741583333333333
"40",0.7415
"41",0.740666666666667
"42",0.739083333333333
"43",0.738916666666667
"44",0.738
"45",0.7375
"46",0.734916666666667
"47",0.733916666666667
"48",0.727333333333333
"49",0.726166666666667
"50",0.725
"51",0.724166666666667
"52",0.722916666666667
"53",0.722333333333333
"54",0.721916666666667
"55",0.7205
"56",0.717666666666667
"57",0.712166666666667
"58",0.684083333333333
"59",0.679666666666667
"60",0.676166666666667
"61",0.676166666666667
"62",0.673666666666667
"63",0.670833333333333
"64",0.667916666666667
"65",0.663916666666667
"66",0.661166666666667
"67",0.657
"68",0.65625
"69",0.651083333333333
"70",0.647833333333333
"71",0.645333333333333
"72",0.63
"73",0.627583333333333
"74",0.6215
"75",0.620833333333333
"76",0.617166666666667
"77",0.615083333333333
"78",0.609166666666667
"79",0.609
"80",0.59325
"81",0.590083333333333
"82",0.589666666666667
"83",0.582083333333333
"84",0.576916666666667
"85",0.576833333333333
"86",0.57275
"87",0.5595
"88",0.551083333333333
"89",0.531333333333333
"90",0.529083333333333
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.477333333333333
