"","x"
"1",0.8293125
"2",0.7756875
"3",0.755875
"4",0.7345625
"5",0.731125
"6",0.731125
"7",0.7308125
"8",0.728875
"9",0.725
"10",0.72484375
"11",0.723875
"12",0.72284375
"13",0.722375
"14",0.7185
"15",0.7173125
"16",0.7166875
"17",0.7114375
"18",0.70675
"19",0.7063125
"20",0.7015
"21",0.6918125
"22",0.6894375
"23",0.688375
"24",0.6843125
"25",0.6838125
"26",0.68359375
"27",0.6808125
"28",0.6794375
"29",0.67940625
"30",0.67765625
"31",0.6760625
"32",0.6746875
"33",0.67465625
"34",0.67296875
"35",0.67225
"36",0.6714375
"37",0.671375
"38",0.6710625
"39",0.67028125
"40",0.669
"41",0.668
"42",0.6671875
"43",0.66715625
"44",0.660125
"45",0.6596875
"46",0.659125
"47",0.65553125
"48",0.6549375
"49",0.6544375
"50",0.653125
"51",0.651625
"52",0.651375
"53",0.6493125
"54",0.646875
"55",0.6465625
"56",0.64475
"57",0.64428125
"58",0.64378125
"59",0.6423125
"60",0.63903125
"61",0.63678125
"62",0.6366875
"63",0.63490625
"64",0.6341875
"65",0.6258125
"66",0.6245
"67",0.62225
"68",0.6209375
"69",0.62046875
"70",0.6194375
"71",0.61775
"72",0.6176875
"73",0.6164375
"74",0.61478125
"75",0.614625
"76",0.61328125
"77",0.6108125
"78",0.6105625
"79",0.61009375
"80",0.6093125
"81",0.6091875
"82",0.60621875
"83",0.597875
"84",0.5974375
"85",0.592375
"86",0.59125
"87",0.5889375
"88",0.58721875
"89",0.58465625
"90",0.58153125
"91",0.56475
"92",0.56334375
"93",0.5604375
"94",0.5531875
"95",0.551375
"96",0.55053125
"97",0.5503125
"98",0.54225
"99",0.523375
