"","x"
"1",0.952
"2",0.9202
"3",0.9174
"4",0.9098
"5",0.903
"6",0.8934
"7",0.8899
"8",0.8868
"9",0.8791
"10",0.8692
"11",0.8682
"12",0.8668
"13",0.8668
"14",0.862
"15",0.847
"16",0.8462
"17",0.8402
"18",0.8388
"19",0.8365
"20",0.8312
"21",0.8272
"22",0.8252
"23",0.8216
"24",0.8176
"25",0.8126
"26",0.8032
"27",0.8006
"28",0.7994
"29",0.7992
"30",0.791
"31",0.7872
"32",0.7856
"33",0.7848
"34",0.7846
"35",0.7766
"36",0.7764
"37",0.7747
"38",0.7733
"39",0.7718
"40",0.7648
"41",0.7645
"42",0.7606
"43",0.7604
"44",0.7518
"45",0.7517
"46",0.7475
"47",0.746
"48",0.7456
"49",0.745
"50",0.7418
"51",0.7366
"52",0.7357
"53",0.7327
"54",0.7326
"55",0.7318
"56",0.7294
"57",0.7268
"58",0.7268
"59",0.7238
"60",0.7198
"61",0.7174
"62",0.7154
"63",0.7134
"64",0.7105
"65",0.7074
"66",0.7072
"67",0.7054
"68",0.7022
"69",0.7001
"70",0.7
"71",0.6983
"72",0.6976
"73",0.6938
"74",0.6874
"75",0.6846
"76",0.6844
"77",0.6826
"78",0.6807
"79",0.6712
"80",0.6703
"81",0.6689
"82",0.6675
"83",0.666
"84",0.6616
"85",0.6518
"86",0.6484
"87",0.6469
"88",0.6433
"89",0.6396
"90",0.6389
"91",0.616
"92",0.6045
"93",0.5737
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
