"","x"
"1",0.9734
"2",0.8966
"3",0.8906
"4",0.8814
"5",0.8796
"6",0.8684
"7",0.8618
"8",0.8591
"9",0.8576
"10",0.8512
"11",0.8493
"12",0.8458
"13",0.8412
"14",0.8388
"15",0.8372
"16",0.8358
"17",0.8298
"18",0.8288
"19",0.8281
"20",0.8272
"21",0.8213
"22",0.8202
"23",0.8168
"24",0.816
"25",0.8144
"26",0.8101
"27",0.8016
"28",0.7966
"29",0.7934
"30",0.7906
"31",0.7904
"32",0.7897
"33",0.7852
"34",0.7837
"35",0.7802
"36",0.7718
"37",0.7698
"38",0.7685
"39",0.7679
"40",0.7678
"41",0.7662
"42",0.7638
"43",0.7622
"44",0.7612
"45",0.7587
"46",0.7571
"47",0.7522
"48",0.751
"49",0.7488
"50",0.7484
"51",0.743
"52",0.7428
"53",0.7313
"54",0.7305
"55",0.7298
"56",0.7292
"57",0.7278
"58",0.727
"59",0.7249
"60",0.7224
"61",0.7208
"62",0.7198
"63",0.7149
"64",0.7109
"65",0.708
"66",0.7078
"67",0.7001
"68",0.7
"69",0.6996
"70",0.699
"71",0.6966
"72",0.6934
"73",0.6925
"74",0.6886
"75",0.685
"76",0.6835
"77",0.679
"78",0.6746
"79",0.6728
"80",0.667
"81",0.6644
"82",0.6616
"83",0.6607
"84",0.6606
"85",0.6563
"86",0.654
"87",0.6427
"88",0.6339
"89",0.6285
"90",0.6245
"91",0.5955
"92",0.5785
"93",0.5646
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
