"","x"
"1",0.935
"2",0.9166
"3",0.9
"4",0.8862
"5",0.8834
"6",0.8764
"7",0.8722
"8",0.8712
"9",0.8702
"10",0.8694
"11",0.8568
"12",0.8526
"13",0.8472
"14",0.8249
"15",0.818
"16",0.8176
"17",0.8174
"18",0.8166
"19",0.8158
"20",0.8145
"21",0.8028
"22",0.8002
"23",0.7988
"24",0.798
"25",0.796
"26",0.791
"27",0.7896
"28",0.7882
"29",0.7879
"30",0.7852
"31",0.7741
"32",0.771
"33",0.7708
"34",0.7698
"35",0.7693
"36",0.7687
"37",0.7676
"38",0.7645
"39",0.7639
"40",0.763
"41",0.7626
"42",0.7624
"43",0.762
"44",0.7604
"45",0.7603
"46",0.7562
"47",0.7556
"48",0.7523
"49",0.7496
"50",0.7374
"51",0.7338
"52",0.7322
"53",0.7286
"54",0.7232
"55",0.7124
"56",0.7102
"57",0.7058
"58",0.7054
"59",0.7052
"60",0.7051
"61",0.7042
"62",0.7041
"63",0.7012
"64",0.6988
"65",0.6968
"66",0.6962
"67",0.6923
"68",0.6912
"69",0.6907
"70",0.6899
"71",0.685
"72",0.6849
"73",0.6844
"74",0.6814
"75",0.6683
"76",0.6657
"77",0.6626
"78",0.6596
"79",0.6574
"80",0.6561
"81",0.6533
"82",0.646
"83",0.645
"84",0.6415
"85",0.6404
"86",0.636
"87",0.629
"88",0.626
"89",0.626
"90",0.6232
"91",0.6038
"92",0.5929
"93",0.5737
"94",0.5657
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.4971
