"","x"
"1",0.8626875
"2",0.846375
"3",0.820125
"4",0.819375
"5",0.813
"6",0.810875
"7",0.8065
"8",0.8058125
"9",0.8026875
"10",0.795625
"11",0.7938125
"12",0.790625
"13",0.78625
"14",0.776125
"15",0.772625
"16",0.767875
"17",0.76425
"18",0.759375
"19",0.752
"20",0.748375
"21",0.74375
"22",0.741875
"23",0.741375
"24",0.739875
"25",0.739875
"26",0.7378125
"27",0.73625
"28",0.735875
"29",0.734375
"30",0.7341875
"31",0.73225
"32",0.724125
"33",0.719125
"34",0.717625
"35",0.71475
"36",0.7090625
"37",0.706875
"38",0.7059375
"39",0.705875
"40",0.705875
"41",0.701125
"42",0.698125
"43",0.6956875
"44",0.6955625
"45",0.6945
"46",0.6931875
"47",0.6918125
"48",0.688875
"49",0.6880625
"50",0.6870625
"51",0.6861875
"52",0.685625
"53",0.683875
"54",0.68175
"55",0.675875
"56",0.674875
"57",0.6730625
"58",0.668
"59",0.6631875
"60",0.66175
"61",0.660125
"62",0.66
"63",0.66
"64",0.659
"65",0.65775
"66",0.656375
"67",0.655875
"68",0.6544375
"69",0.652375
"70",0.650125
"71",0.64525
"72",0.6425
"73",0.641625
"74",0.6355
"75",0.6335
"76",0.6324375
"77",0.621625
"78",0.6214375
"79",0.6191875
"80",0.608
"81",0.602875
"82",0.6024375
"83",0.5953125
"84",0.5828125
"85",0.5825
"86",0.5795625
"87",0.570375
"88",0.564375
"89",0.55375
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
