"","x"
"1",0.8531
"2",0.8499
"3",0.8372
"4",0.8256
"5",0.81095
"6",0.80155
"7",0.79805
"8",0.796
"9",0.7949
"10",0.7933
"11",0.79125
"12",0.7897
"13",0.7866
"14",0.7854
"15",0.7831
"16",0.7805
"17",0.7744
"18",0.7722
"19",0.7709
"20",0.77005
"21",0.7655
"22",0.7624
"23",0.7608
"24",0.7504
"25",0.7493
"26",0.7469
"27",0.74685
"28",0.7438
"29",0.7436
"30",0.7436
"31",0.7433
"32",0.7404
"33",0.7373
"34",0.73695
"35",0.7337
"36",0.7312
"37",0.7273
"38",0.727
"39",0.7264
"40",0.72405
"41",0.72295
"42",0.7215
"43",0.721
"44",0.72055
"45",0.7187
"46",0.7179
"47",0.7132
"48",0.7117
"49",0.7105
"50",0.7075
"51",0.7074
"52",0.7072
"53",0.7049
"54",0.70445
"55",0.7011
"56",0.6985
"57",0.6984
"58",0.6978
"59",0.6972
"60",0.6954
"61",0.6949
"62",0.6947
"63",0.6924
"64",0.6912
"65",0.6909
"66",0.6901
"67",0.68705
"68",0.6831
"69",0.6809
"70",0.6808
"71",0.67825
"72",0.6773
"73",0.6741
"74",0.6737
"75",0.6734
"76",0.668
"77",0.66445
"78",0.6634
"79",0.6596
"80",0.6533
"81",0.6505
"82",0.6462
"83",0.6458
"84",0.6423
"85",0.6406
"86",0.6373
"87",0.6271
"88",0.6244
"89",0.6232
"90",0.6211
"91",0.6201
"92",0.5816
"93",0.5804
"94",0.5803
"95",0.57865
"96",0.54895
"97",0.53565
"98",0.49545
"99",0.4483
