"","x"
"1",0.89975
"2",0.89275
"3",0.871875
"4",0.87075
"5",0.86975
"6",0.7786875
"7",0.778625
"8",0.775375
"9",0.772875
"10",0.766
"11",0.762125
"12",0.7588125
"13",0.7565625
"14",0.7504375
"15",0.74625
"16",0.7455
"17",0.745125
"18",0.74325
"19",0.74225
"20",0.7405
"21",0.739125
"22",0.7345
"23",0.7323125
"24",0.7321875
"25",0.7284375
"26",0.7278125
"27",0.7238125
"28",0.72375
"29",0.718875
"30",0.7165
"31",0.71125
"32",0.709
"33",0.708375
"34",0.708
"35",0.7074375
"36",0.70575
"37",0.704
"38",0.70375
"39",0.69975
"40",0.6939375
"41",0.692625
"42",0.6916875
"43",0.691125
"44",0.68725
"45",0.686625
"46",0.6835
"47",0.682875
"48",0.6828125
"49",0.68125
"50",0.677125
"51",0.677125
"52",0.6744375
"53",0.672875
"54",0.6695625
"55",0.667
"56",0.666
"57",0.66575
"58",0.6633125
"59",0.6628125
"60",0.66175
"61",0.6599375
"62",0.6598125
"63",0.6573125
"64",0.652625
"65",0.6525
"66",0.6511875
"67",0.64875
"68",0.644125
"69",0.643625
"70",0.6366875
"71",0.636375
"72",0.634875
"73",0.6303125
"74",0.626625
"75",0.624625
"76",0.6224375
"77",0.6164375
"78",0.613375
"79",0.6125
"80",0.608375
"81",0.60625
"82",0.6035625
"83",0.598875
"84",0.5909375
"85",0.5894375
"86",0.568625
"87",0.568375
"88",0.563875
"89",0.5525
"90",0.548375
"91",0.5481875
"92",0.5465625
"93",0.530625
"94",0.5
"95",0.5
"96",0.5
"97",0.4986875
"98",0.4895625
"99",0.4630625
