"","x"
"1",0.9062
"2",0.902
"3",0.8812
"4",0.8794
"5",0.8766
"6",0.875
"7",0.8686
"8",0.8541
"9",0.8482
"10",0.8478
"11",0.847
"12",0.8466
"13",0.8394
"14",0.8278
"15",0.8264
"16",0.8235
"17",0.8186
"18",0.8125
"19",0.812
"20",0.809
"21",0.8029
"22",0.8004
"23",0.7998
"24",0.7992
"25",0.7972
"26",0.7912
"27",0.7894
"28",0.7858
"29",0.7848
"30",0.7838
"31",0.7836
"32",0.7812
"33",0.7776
"34",0.7775
"35",0.7768
"36",0.7756
"37",0.7744
"38",0.7732
"39",0.7658
"40",0.7641
"41",0.762
"42",0.7589
"43",0.7548
"44",0.7531
"45",0.7488
"46",0.7475
"47",0.7438
"48",0.7426
"49",0.7414
"50",0.7406
"51",0.7406
"52",0.737
"53",0.7359
"54",0.7315
"55",0.729
"56",0.723
"57",0.7225
"58",0.7216
"59",0.7194
"60",0.7191
"61",0.7143
"62",0.7141
"63",0.7086
"64",0.7055
"65",0.7022
"66",0.7004
"67",0.6891
"68",0.6872
"69",0.686
"70",0.682
"71",0.6748
"72",0.6714
"73",0.6702
"74",0.6686
"75",0.6663
"76",0.6558
"77",0.6544
"78",0.6542
"79",0.6516
"80",0.6484
"81",0.6414
"82",0.6384
"83",0.6358
"84",0.6213
"85",0.621
"86",0.6145
"87",0.6114
"88",0.6003
"89",0.5999
"90",0.5982
"91",0.5941
"92",0.5816
"93",0.5079
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
