"","x"
"1",0.860111111111111
"2",0.837277777777778
"3",0.814777777777778
"4",0.814111111111111
"5",0.809888888888889
"6",0.797388888888889
"7",0.795611111111111
"8",0.7815
"9",0.779444444444444
"10",0.769555555555556
"11",0.768055555555556
"12",0.762111111111111
"13",0.757055555555556
"14",0.751388888888889
"15",0.749888888888889
"16",0.7475
"17",0.744333333333333
"18",0.743722222222222
"19",0.739333333333333
"20",0.734944444444444
"21",0.733944444444444
"22",0.7285
"23",0.726222222222222
"24",0.724055555555556
"25",0.722
"26",0.717666666666667
"27",0.716222222222222
"28",0.712388888888889
"29",0.711944444444444
"30",0.706166666666667
"31",0.703166666666667
"32",0.701666666666667
"33",0.7015
"34",0.701388888888889
"35",0.699944444444444
"36",0.696388888888889
"37",0.694333333333333
"38",0.692833333333333
"39",0.691388888888889
"40",0.69
"41",0.689055555555556
"42",0.688722222222222
"43",0.688222222222222
"44",0.686944444444444
"45",0.685611111111111
"46",0.679833333333333
"47",0.678444444444444
"48",0.673944444444444
"49",0.672833333333333
"50",0.672055555555556
"51",0.670333333333333
"52",0.668888888888889
"53",0.661277777777778
"54",0.658833333333333
"55",0.658333333333333
"56",0.656611111111111
"57",0.655055555555556
"58",0.653777777777778
"59",0.653555555555556
"60",0.651277777777778
"61",0.648555555555556
"62",0.647722222222222
"63",0.640055555555556
"64",0.640055555555556
"65",0.639611111111111
"66",0.639388888888889
"67",0.638555555555556
"68",0.638277777777778
"69",0.637055555555556
"70",0.636222222222222
"71",0.632444444444444
"72",0.631388888888889
"73",0.624888888888889
"74",0.622333333333333
"75",0.619777777777778
"76",0.616277777777778
"77",0.605
"78",0.582722222222222
"79",0.581944444444444
"80",0.581888888888889
"81",0.5815
"82",0.549666666666667
"83",0.536
"84",0.5355
"85",0.534
"86",0.5
"87",0.5
"88",0.5
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
