"","x"
"1",0.799777777777778
"2",0.787833333333333
"3",0.786777777777778
"4",0.781
"5",0.778166666666667
"6",0.772
"7",0.752444444444444
"8",0.751277777777778
"9",0.750944444444444
"10",0.746333333333333
"11",0.744055555555556
"12",0.743277777777778
"13",0.736833333333333
"14",0.733888888888889
"15",0.733111111111111
"16",0.731444444444444
"17",0.731111111111111
"18",0.730833333333333
"19",0.730055555555556
"20",0.729944444444444
"21",0.724111111111111
"22",0.723
"23",0.7225
"24",0.721888888888889
"25",0.721055555555556
"26",0.720388888888889
"27",0.717833333333333
"28",0.717
"29",0.715833333333333
"30",0.715388888888889
"31",0.7115
"32",0.710722222222222
"33",0.708666666666667
"34",0.7055
"35",0.705166666666667
"36",0.704388888888889
"37",0.7025
"38",0.702333333333333
"39",0.694944444444444
"40",0.693444444444444
"41",0.693222222222222
"42",0.691222222222222
"43",0.688333333333333
"44",0.687333333333333
"45",0.687
"46",0.685777777777778
"47",0.681333333333333
"48",0.6795
"49",0.678611111111111
"50",0.676166666666667
"51",0.673888888888889
"52",0.672111111111111
"53",0.668722222222222
"54",0.6685
"55",0.666777777777778
"56",0.665388888888889
"57",0.664888888888889
"58",0.6645
"59",0.653888888888889
"60",0.652222222222222
"61",0.652111111111111
"62",0.649722222222222
"63",0.645222222222222
"64",0.642833333333333
"65",0.642388888888889
"66",0.641166666666667
"67",0.640277777777778
"68",0.638555555555556
"69",0.637833333333333
"70",0.635888888888889
"71",0.6325
"72",0.63
"73",0.627166666666667
"74",0.626777777777778
"75",0.626222222222222
"76",0.614444444444444
"77",0.610444444444444
"78",0.604888888888889
"79",0.6045
"80",0.603833333333333
"81",0.603333333333333
"82",0.601722222222222
"83",0.598277777777778
"84",0.59
"85",0.589722222222222
"86",0.569833333333333
"87",0.555055555555556
"88",0.549888888888889
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.498333333333333
"99",0.497388888888889
