"","x"
"1",0.72824
"2",0.7216
"3",0.72004
"4",0.71708
"5",0.71292
"6",0.71284
"7",0.71024
"8",0.70992
"9",0.7042
"10",0.69864
"11",0.69084
"12",0.68976
"13",0.68942
"14",0.68904
"15",0.68852
"16",0.68792
"17",0.6868
"18",0.68372
"19",0.68304
"20",0.68264
"21",0.67924
"22",0.67916
"23",0.67916
"24",0.67872
"25",0.678
"26",0.67754
"27",0.6772
"28",0.67716
"29",0.67404
"30",0.67404
"31",0.67344
"32",0.67196
"33",0.67082
"34",0.66358
"35",0.6616
"36",0.66112
"37",0.65988
"38",0.6594
"39",0.65896
"40",0.65798
"41",0.65704
"42",0.65668
"43",0.6564
"44",0.65624
"45",0.6558
"46",0.65556
"47",0.65436
"48",0.65236
"49",0.65176
"50",0.65074
"51",0.64984
"52",0.64892
"53",0.64796
"54",0.64496
"55",0.6446
"56",0.6444
"57",0.6438
"58",0.64256
"59",0.6422
"60",0.63914
"61",0.63878
"62",0.63824
"63",0.63624
"64",0.63612
"65",0.63584
"66",0.63392
"67",0.6335
"68",0.63256
"69",0.63214
"70",0.63168
"71",0.62928
"72",0.6276
"73",0.62598
"74",0.622
"75",0.62104
"76",0.61672
"77",0.61412
"78",0.61362
"79",0.60826
"80",0.60592
"81",0.60588
"82",0.60144
"83",0.59852
"84",0.5938
"85",0.58446
"86",0.58076
"87",0.5798
"88",0.5772
"89",0.57718
"90",0.57648
"91",0.57622
"92",0.57326
"93",0.5684
"94",0.5678
"95",0.55904
"96",0.55344
"97",0.53046
"98",0.52294
"99",0.50552
