"","x"
"1",0.78525
"2",0.78225
"3",0.772875
"4",0.77075
"5",0.7643125
"6",0.75853125
"7",0.7578125
"8",0.75403125
"9",0.74425
"10",0.7349375
"11",0.7255
"12",0.721625
"13",0.71821875
"14",0.7175
"15",0.716875
"16",0.7161875
"17",0.715375
"18",0.713125
"19",0.7115
"20",0.707875
"21",0.707625
"22",0.70740625
"23",0.70375
"24",0.70159375
"25",0.7005
"26",0.69740625
"27",0.697
"28",0.696375
"29",0.6959375
"30",0.6904375
"31",0.68925
"32",0.6863125
"33",0.685625
"34",0.68425
"35",0.68296875
"36",0.68125
"37",0.6805
"38",0.67771875
"39",0.677125
"40",0.6750625
"41",0.673375
"42",0.67275
"43",0.6701875
"44",0.6695
"45",0.66753125
"46",0.66584375
"47",0.6616875
"48",0.6600625
"49",0.659
"50",0.65875
"51",0.656
"52",0.655375
"53",0.653625
"54",0.6523125
"55",0.6499375
"56",0.647375
"57",0.646125
"58",0.642875
"59",0.6424375
"60",0.639375
"61",0.635625
"62",0.6351875
"63",0.634625
"64",0.63409375
"65",0.631375
"66",0.631125
"67",0.6295
"68",0.6284375
"69",0.62265625
"70",0.6205625
"71",0.61996875
"72",0.61871875
"73",0.6184375
"74",0.61575
"75",0.61278125
"76",0.6124375
"77",0.608125
"78",0.60675
"79",0.6049375
"80",0.60140625
"81",0.5944375
"82",0.59209375
"83",0.5919375
"84",0.5873125
"85",0.586375
"86",0.58096875
"87",0.579875
"88",0.57925
"89",0.57909375
"90",0.575875
"91",0.57546875
"92",0.57440625
"93",0.57375
"94",0.5581875
"95",0.55696875
"96",0.55496875
"97",0.55175
"98",0.54421875
"99",0.50653125
