"","x"
"1",0.9522
"2",0.9058
"3",0.8998
"4",0.876
"5",0.8581
"6",0.8534
"7",0.8446
"8",0.8426
"9",0.836
"10",0.832
"11",0.8313
"12",0.8282
"13",0.8223
"14",0.8192
"15",0.817
"16",0.8149
"17",0.8107
"18",0.8087
"19",0.8044
"20",0.8019
"21",0.7994
"22",0.7962
"23",0.7947
"24",0.7916
"25",0.7898
"26",0.7798
"27",0.7785
"28",0.7746
"29",0.7696
"30",0.768
"31",0.767
"32",0.7667
"33",0.7662
"34",0.7653
"35",0.7622
"36",0.7607
"37",0.7598
"38",0.7546
"39",0.7544
"40",0.7501
"41",0.7476
"42",0.7473
"43",0.7412
"44",0.74
"45",0.738
"46",0.7347
"47",0.7314
"48",0.731
"49",0.729
"50",0.7216
"51",0.7204
"52",0.7177
"53",0.7174
"54",0.7085
"55",0.7064
"56",0.7034
"57",0.7017
"58",0.6996
"59",0.6969
"60",0.6954
"61",0.6947
"62",0.6924
"63",0.6878
"64",0.6826
"65",0.6803
"66",0.6785
"67",0.6703
"68",0.6693
"69",0.6679
"70",0.662
"71",0.6552
"72",0.6541
"73",0.6523
"74",0.652
"75",0.6491
"76",0.646
"77",0.6411
"78",0.6393
"79",0.6391
"80",0.6333
"81",0.6283
"82",0.6223
"83",0.6094
"84",0.6003
"85",0.5997
"86",0.597
"87",0.5859
"88",0.5669
"89",0.5634
"90",0.5508
"91",0.5447
"92",0.5288
"93",0.5034
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
