"","x"
"1",0.71295
"2",0.7107625
"3",0.703875
"4",0.6972
"5",0.69475
"6",0.6845
"7",0.683725
"8",0.682
"9",0.68155
"10",0.67985
"11",0.679075
"12",0.673775
"13",0.6669
"14",0.66515
"15",0.6649
"16",0.66185
"17",0.661575
"18",0.6603
"19",0.659575
"20",0.658675
"21",0.6569125
"22",0.6552
"23",0.6551
"24",0.651775
"25",0.649675
"26",0.649375
"27",0.649075
"28",0.649025
"29",0.64805
"30",0.647775
"31",0.647025
"32",0.64555
"33",0.644325
"34",0.637725
"35",0.637375
"36",0.637125
"37",0.6367
"38",0.634125
"39",0.63395
"40",0.6337
"41",0.633325
"42",0.632025
"43",0.631875
"44",0.6315
"45",0.6313
"46",0.6302875
"47",0.629625
"48",0.629225
"49",0.62875
"50",0.62715
"51",0.626725
"52",0.623375
"53",0.6227125
"54",0.62035
"55",0.6193
"56",0.618725
"57",0.618275
"58",0.6180625
"59",0.6155125
"60",0.615475
"61",0.615
"62",0.612
"63",0.61075
"64",0.610725
"65",0.610025
"66",0.609775
"67",0.60925
"68",0.60915
"69",0.6090875
"70",0.609025
"71",0.6079
"72",0.607325
"73",0.60715
"74",0.605825
"75",0.605125
"76",0.604625
"77",0.604375
"78",0.599575
"79",0.59955
"80",0.5995
"81",0.598125
"82",0.597625
"83",0.5968
"84",0.59675
"85",0.59545
"86",0.594575
"87",0.59365
"88",0.58865
"89",0.587875
"90",0.58535
"91",0.583425
"92",0.580575
"93",0.5784625
"94",0.5705375
"95",0.56605
"96",0.55975
"97",0.5566125
"98",0.555425
"99",0.541325
