"","x"
"1",0.9145
"2",0.873
"3",0.854333333333333
"4",0.818166666666667
"5",0.814916666666667
"6",0.814333333333333
"7",0.812916666666667
"8",0.804083333333333
"9",0.801166666666667
"10",0.800666666666667
"11",0.799333333333333
"12",0.794083333333333
"13",0.785583333333333
"14",0.77925
"15",0.775333333333333
"16",0.775
"17",0.77125
"18",0.769333333333333
"19",0.768
"20",0.7675
"21",0.766666666666667
"22",0.754666666666667
"23",0.75325
"24",0.750833333333333
"25",0.750333333333333
"26",0.749083333333333
"27",0.748833333333333
"28",0.748583333333333
"29",0.744333333333333
"30",0.742583333333333
"31",0.740916666666667
"32",0.7385
"33",0.737083333333333
"34",0.737
"35",0.7355
"36",0.732166666666667
"37",0.72975
"38",0.726583333333333
"39",0.721833333333333
"40",0.720833333333333
"41",0.719416666666667
"42",0.71875
"43",0.704916666666667
"44",0.70475
"45",0.702333333333333
"46",0.69575
"47",0.693166666666667
"48",0.69125
"49",0.691166666666667
"50",0.689
"51",0.687833333333333
"52",0.686083333333333
"53",0.684416666666667
"54",0.681666666666667
"55",0.6815
"56",0.679166666666667
"57",0.675666666666667
"58",0.675
"59",0.672583333333333
"60",0.66725
"61",0.664583333333333
"62",0.663
"63",0.661916666666667
"64",0.661666666666667
"65",0.661583333333333
"66",0.659666666666667
"67",0.657583333333333
"68",0.655083333333333
"69",0.6535
"70",0.644333333333333
"71",0.629833333333333
"72",0.623666666666667
"73",0.618083333333333
"74",0.618
"75",0.617166666666667
"76",0.612333333333333
"77",0.608666666666667
"78",0.599916666666667
"79",0.599333333333333
"80",0.598916666666667
"81",0.597166666666667
"82",0.596666666666667
"83",0.5865
"84",0.585
"85",0.584916666666667
"86",0.580916666666667
"87",0.57275
"88",0.541333333333333
"89",0.509583333333333
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
