"","x"
"1",0.88575
"2",0.8066875
"3",0.80375
"4",0.78925
"5",0.7865
"6",0.7845
"7",0.78225
"8",0.7779375
"9",0.77775
"10",0.7775
"11",0.7688125
"12",0.7600625
"13",0.76
"14",0.7465
"15",0.7440625
"16",0.7425
"17",0.7376875
"18",0.737625
"19",0.736875
"20",0.7361875
"21",0.7355
"22",0.73325
"23",0.73325
"24",0.7325
"25",0.7265
"26",0.7216875
"27",0.71675
"28",0.7110625
"29",0.7085
"30",0.7066875
"31",0.70575
"32",0.7050625
"33",0.70025
"34",0.699875
"35",0.6940625
"36",0.6940625
"37",0.6925
"38",0.69225
"39",0.6869375
"40",0.68675
"41",0.6865
"42",0.686
"43",0.6850625
"44",0.6850625
"45",0.68325
"46",0.679
"47",0.6788125
"48",0.67775
"49",0.677
"50",0.675
"51",0.67425
"52",0.6740625
"53",0.673875
"54",0.67325
"55",0.6715
"56",0.6661875
"57",0.663875
"58",0.663875
"59",0.6615
"60",0.6605
"61",0.660375
"62",0.6595
"63",0.658625
"64",0.6575625
"65",0.6566875
"66",0.6559375
"67",0.65275
"68",0.6506875
"69",0.65
"70",0.6494375
"71",0.649125
"72",0.647375
"73",0.644
"74",0.643625
"75",0.6379375
"76",0.6376875
"77",0.634125
"78",0.6270625
"79",0.624375
"80",0.6236875
"81",0.6223125
"82",0.62225
"83",0.621875
"84",0.62175
"85",0.61825
"86",0.591875
"87",0.590875
"88",0.5845625
"89",0.584125
"90",0.5605625
"91",0.5563125
"92",0.5441875
"93",0.5215
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.46225
