"","x"
"1",0.85775
"2",0.8354375
"3",0.823625
"4",0.822375
"5",0.808375
"6",0.806875
"7",0.8020625
"8",0.7993125
"9",0.78625
"10",0.779
"11",0.778625
"12",0.76675
"13",0.7636875
"14",0.76275
"15",0.759
"16",0.754375
"17",0.7513125
"18",0.7498125
"19",0.749
"20",0.744
"21",0.7434375
"22",0.736875
"23",0.733625
"24",0.7325
"25",0.730125
"26",0.723375
"27",0.71525
"28",0.713625
"29",0.708125
"30",0.698375
"31",0.6940625
"32",0.6926875
"33",0.68525
"34",0.681875
"35",0.68125
"36",0.6748125
"37",0.6743125
"38",0.6741875
"39",0.674
"40",0.67225
"41",0.6699375
"42",0.66925
"43",0.6675
"44",0.666625
"45",0.665625
"46",0.6633125
"47",0.6625
"48",0.6598125
"49",0.658875
"50",0.657625
"51",0.6533125
"52",0.6526875
"53",0.650625
"54",0.64675
"55",0.6450625
"56",0.645
"57",0.6433125
"58",0.640125
"59",0.6398125
"60",0.6395
"61",0.63875
"62",0.6356875
"63",0.6328125
"64",0.6295
"65",0.6284375
"66",0.62775
"67",0.627
"68",0.6243125
"69",0.622875
"70",0.622375
"71",0.62125
"72",0.6209375
"73",0.620625
"74",0.6171875
"75",0.6095
"76",0.608375
"77",0.6065625
"78",0.6045625
"79",0.6040625
"80",0.602625
"81",0.5978125
"82",0.5890625
"83",0.5855625
"84",0.585125
"85",0.5849375
"86",0.563375
"87",0.5550625
"88",0.5475
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.484
