"","x"
"1",0.830866666666667
"2",0.799933333333333
"3",0.779466666666667
"4",0.7532
"5",0.751533333333333
"6",0.740866666666667
"7",0.739866666666667
"8",0.738066666666667
"9",0.734433333333333
"10",0.733333333333333
"11",0.719833333333333
"12",0.719133333333333
"13",0.716266666666667
"14",0.7114
"15",0.708266666666667
"16",0.707966666666667
"17",0.707766666666667
"18",0.707633333333333
"19",0.705166666666667
"20",0.7035
"21",0.699366666666667
"22",0.699366666666667
"23",0.695333333333333
"24",0.6919
"25",0.685333333333333
"26",0.6852
"27",0.682033333333333
"28",0.681933333333333
"29",0.680333333333333
"30",0.6784
"31",0.676933333333333
"32",0.676633333333333
"33",0.676333333333333
"34",0.674766666666667
"35",0.674666666666667
"36",0.6746
"37",0.674166666666667
"38",0.674
"39",0.673466666666667
"40",0.669433333333333
"41",0.6674
"42",0.6643
"43",0.662966666666667
"44",0.662133333333333
"45",0.6611
"46",0.660333333333333
"47",0.657733333333333
"48",0.655266666666667
"49",0.6528
"50",0.652666666666667
"51",0.6522
"52",0.649133333333333
"53",0.6454
"54",0.643133333333333
"55",0.642833333333333
"56",0.642466666666667
"57",0.641866666666667
"58",0.638566666666667
"59",0.637466666666667
"60",0.6374
"61",0.635466666666667
"62",0.633466666666667
"63",0.633033333333333
"64",0.6326
"65",0.6326
"66",0.629233333333333
"67",0.628366666666667
"68",0.623733333333333
"69",0.6236
"70",0.622133333333333
"71",0.621466666666667
"72",0.6166
"73",0.615266666666667
"74",0.614133333333333
"75",0.613333333333333
"76",0.6112
"77",0.610666666666667
"78",0.609766666666667
"79",0.608133333333333
"80",0.6024
"81",0.6016
"82",0.5998
"83",0.597366666666667
"84",0.596933333333333
"85",0.5946
"86",0.594033333333333
"87",0.587766666666667
"88",0.5864
"89",0.585033333333333
"90",0.578
"91",0.5742
"92",0.5568
"93",0.555233333333333
"94",0.5533
"95",0.5493
"96",0.545066666666667
"97",0.544166666666667
"98",0.538633333333333
"99",0.5263
