"","x"
"1",0.8855
"2",0.852375
"3",0.826125
"4",0.822625
"5",0.821875
"6",0.8140625
"7",0.809375
"8",0.797
"9",0.795875
"10",0.7925625
"11",0.7896875
"12",0.787125
"13",0.7831875
"14",0.774625
"15",0.77375
"16",0.77275
"17",0.764625
"18",0.7568125
"19",0.7543125
"20",0.753625
"21",0.751875
"22",0.7504375
"23",0.747
"24",0.7415
"25",0.738375
"26",0.7363125
"27",0.7361875
"28",0.73525
"29",0.7335625
"30",0.73075
"31",0.730125
"32",0.7275
"33",0.724
"34",0.7175
"35",0.717125
"36",0.7166875
"37",0.711375
"38",0.710625
"39",0.705625
"40",0.705375
"41",0.6958125
"42",0.69425
"43",0.691375
"44",0.690875
"45",0.6881875
"46",0.6843125
"47",0.6831875
"48",0.68175
"49",0.681625
"50",0.6795625
"51",0.6785
"52",0.677
"53",0.67675
"54",0.6758125
"55",0.675125
"56",0.672875
"57",0.6719375
"58",0.6686875
"59",0.6666875
"60",0.6630625
"61",0.6575625
"62",0.65475
"63",0.6526875
"64",0.6521875
"65",0.6485625
"66",0.6480625
"67",0.6413125
"68",0.640625
"69",0.6355
"70",0.6340625
"71",0.6306875
"72",0.6296875
"73",0.6263125
"74",0.6241875
"75",0.622875
"76",0.621
"77",0.6184375
"78",0.6145
"79",0.6078125
"80",0.6068125
"81",0.5980625
"82",0.5853125
"83",0.5734375
"84",0.5716875
"85",0.5
"86",0.5
"87",0.5
"88",0.5
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.459
