"","x"
"1",0.9167
"2",0.8944
"3",0.8918
"4",0.8848
"5",0.884
"6",0.8798
"7",0.8769
"8",0.8762
"9",0.8738
"10",0.8626
"11",0.8614
"12",0.8488
"13",0.8446
"14",0.8436
"15",0.843
"16",0.8412
"17",0.836
"18",0.8346
"19",0.8315
"20",0.8285
"21",0.8275
"22",0.8252
"23",0.8212
"24",0.8118
"25",0.8054
"26",0.805
"27",0.8009
"28",0.8008
"29",0.7996
"30",0.7983
"31",0.7925
"32",0.7922
"33",0.7892
"34",0.785
"35",0.784
"36",0.7834
"37",0.7828
"38",0.7796
"39",0.7775
"40",0.7756
"41",0.7732
"42",0.7707
"43",0.7652
"44",0.765
"45",0.761
"46",0.7528
"47",0.7504
"48",0.7434
"49",0.7433
"50",0.743
"51",0.7384
"52",0.7378
"53",0.7356
"54",0.7348
"55",0.7348
"56",0.7332
"57",0.7325
"58",0.7276
"59",0.7276
"60",0.7268
"61",0.726
"62",0.7244
"63",0.7244
"64",0.7193
"65",0.7143
"66",0.7116
"67",0.7091
"68",0.7086
"69",0.7078
"70",0.7068
"71",0.7064
"72",0.706
"73",0.7024
"74",0.6989
"75",0.6968
"76",0.6954
"77",0.6935
"78",0.6909
"79",0.6902
"80",0.6886
"81",0.6844
"82",0.6828
"83",0.6785
"84",0.6781
"85",0.6737
"86",0.6724
"87",0.6645
"88",0.6632
"89",0.6621
"90",0.6495
"91",0.645
"92",0.6403
"93",0.6327
"94",0.6228
"95",0.6184
"96",0.617
"97",0.5
"98",0.5
"99",0.5
