"","x"
"1",0.8168
"2",0.8086
"3",0.80525
"4",0.8049
"5",0.7969
"6",0.7967
"7",0.7928
"8",0.7872
"9",0.7802
"10",0.7783
"11",0.7765
"12",0.7696
"13",0.7629
"14",0.762
"15",0.7605
"16",0.7602
"17",0.7592
"18",0.7586
"19",0.75855
"20",0.7583
"21",0.7575
"22",0.7556
"23",0.75425
"24",0.7527
"25",0.7491
"26",0.747
"27",0.7455
"28",0.7438
"29",0.7435
"30",0.74155
"31",0.7397
"32",0.739
"33",0.7378
"34",0.7362
"35",0.73435
"36",0.7326
"37",0.7319
"38",0.7311
"39",0.7286
"40",0.7284
"41",0.7269
"42",0.7259
"43",0.7207
"44",0.70825
"45",0.7061
"46",0.7039
"47",0.70085
"48",0.7006
"49",0.70015
"50",0.6951
"51",0.6924
"52",0.6918
"53",0.6916
"54",0.6912
"55",0.69025
"56",0.6897
"57",0.6839
"58",0.6835
"59",0.6784
"60",0.6777
"61",0.6768
"62",0.67645
"63",0.6761
"64",0.67525
"65",0.67445
"66",0.6743
"67",0.6739
"68",0.6664
"69",0.65905
"70",0.6582
"71",0.658
"72",0.65065
"73",0.6491
"74",0.6481
"75",0.6389
"76",0.6388
"77",0.63825
"78",0.6279
"79",0.6235
"80",0.62275
"81",0.6222
"82",0.6192
"83",0.6149
"84",0.6132
"85",0.6101
"86",0.6098
"87",0.6041
"88",0.6034
"89",0.59685
"90",0.5964
"91",0.59425
"92",0.58305
"93",0.57605
"94",0.56735
"95",0.56715
"96",0.56285
"97",0.55215
"98",0.5
"99",0.5
