"","x"
"1",0.9058
"2",0.9034
"3",0.8967
"4",0.8798
"5",0.878
"6",0.8764
"7",0.8749
"8",0.8678
"9",0.8614
"10",0.8553
"11",0.8526
"12",0.8516
"13",0.8492
"14",0.8488
"15",0.844
"16",0.839
"17",0.8365
"18",0.8326
"19",0.829
"20",0.8276
"21",0.8219
"22",0.8206
"23",0.8172
"24",0.8158
"25",0.8147
"26",0.814
"27",0.812
"28",0.809
"29",0.7998
"30",0.7982
"31",0.7973
"32",0.7932
"33",0.7928
"34",0.7917
"35",0.7911
"36",0.7902
"37",0.7894
"38",0.7892
"39",0.783
"40",0.7824
"41",0.7814
"42",0.7662
"43",0.7641
"44",0.7639
"45",0.7619
"46",0.7616
"47",0.7604
"48",0.7548
"49",0.7537
"50",0.7534
"51",0.7455
"52",0.7436
"53",0.7425
"54",0.7406
"55",0.7385
"56",0.7381
"57",0.7376
"58",0.7375
"59",0.7318
"60",0.7278
"61",0.7269
"62",0.7268
"63",0.7255
"64",0.7242
"65",0.724
"66",0.7235
"67",0.7206
"68",0.7135
"69",0.7117
"70",0.7058
"71",0.6954
"72",0.6914
"73",0.688
"74",0.6864
"75",0.6812
"76",0.6758
"77",0.6753
"78",0.6701
"79",0.67
"80",0.6643
"81",0.6614
"82",0.6611
"83",0.6592
"84",0.6557
"85",0.6458
"86",0.6362
"87",0.6276
"88",0.6256
"89",0.6184
"90",0.6162
"91",0.6131
"92",0.5671
"93",0.5173
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
