"","x"
"1",0.8704
"2",0.8317
"3",0.8314
"4",0.8244
"5",0.824
"6",0.8212
"7",0.8073
"8",0.8042
"9",0.7706
"10",0.7701
"11",0.7623
"12",0.762
"13",0.7591
"14",0.7576
"15",0.7571
"16",0.75565
"17",0.755
"18",0.75425
"19",0.7536
"20",0.7531
"21",0.7499
"22",0.7477
"23",0.7469
"24",0.7448
"25",0.7432
"26",0.7431
"27",0.7426
"28",0.7423
"29",0.7423
"30",0.7401
"31",0.7366
"32",0.7361
"33",0.7308
"34",0.7284
"35",0.7197
"36",0.7193
"37",0.7094
"38",0.7088
"39",0.70765
"40",0.7075
"41",0.7071
"42",0.7067
"43",0.706
"44",0.7056
"45",0.7048
"46",0.7042
"47",0.7038
"48",0.7009
"49",0.7
"50",0.6965
"51",0.6954
"52",0.6892
"53",0.6866
"54",0.6849
"55",0.68475
"56",0.6805
"57",0.6799
"58",0.6783
"59",0.67705
"60",0.6765
"61",0.6763
"62",0.6743
"63",0.6731
"64",0.6728
"65",0.6723
"66",0.66885
"67",0.6659
"68",0.6655
"69",0.66465
"70",0.6614
"71",0.6598
"72",0.6561
"73",0.6551
"74",0.6541
"75",0.64925
"76",0.6484
"77",0.6468
"78",0.6428
"79",0.6426
"80",0.6417
"81",0.6417
"82",0.6389
"83",0.6345
"84",0.6342
"85",0.6298
"86",0.62765
"87",0.6236
"88",0.6227
"89",0.6192
"90",0.6095
"91",0.60795
"92",0.60775
"93",0.6028
"94",0.58635
"95",0.58435
"96",0.5766
"97",0.57275
"98",0.5
"99",0.4991
