"","x"
"1",0.8703
"2",0.8351
"3",0.8265
"4",0.8099
"5",0.8024
"6",0.7948
"7",0.7825
"8",0.77415
"9",0.7697
"10",0.7662
"11",0.7637
"12",0.76
"13",0.7588
"14",0.75365
"15",0.752
"16",0.74845
"17",0.74325
"18",0.7399
"19",0.73685
"20",0.73645
"21",0.7316
"22",0.73145
"23",0.7294
"24",0.7257
"25",0.7231
"26",0.71995
"27",0.7198
"28",0.719
"29",0.7182
"30",0.7176
"31",0.7176
"32",0.7143
"33",0.71315
"34",0.7125
"35",0.7118
"36",0.70905
"37",0.7088
"38",0.706
"39",0.7022
"40",0.6986
"41",0.6978
"42",0.6941
"43",0.6925
"44",0.6905
"45",0.6905
"46",0.6884
"47",0.6868
"48",0.6832
"49",0.67705
"50",0.676
"51",0.6755
"52",0.6751
"53",0.67015
"54",0.66735
"55",0.66435
"56",0.66315
"57",0.6629
"58",0.6608
"59",0.66025
"60",0.6589
"61",0.65875
"62",0.6557
"63",0.6539
"64",0.6508
"65",0.64935
"66",0.6456
"67",0.6453
"68",0.64375
"69",0.6364
"70",0.63525
"71",0.633
"72",0.62785
"73",0.6271
"74",0.6253
"75",0.62435
"76",0.62335
"77",0.62325
"78",0.6202
"79",0.61995
"80",0.61975
"81",0.6147
"82",0.6125
"83",0.6091
"84",0.60755
"85",0.60705
"86",0.60465
"87",0.60465
"88",0.60155
"89",0.59355
"90",0.5872
"91",0.5801
"92",0.5781
"93",0.5765
"94",0.55825
"95",0.5568
"96",0.5
"97",0.5
"98",0.5
"99",0.4547
