"","x"
"1",0.8638
"2",0.8271
"3",0.8153
"4",0.80995
"5",0.8024
"6",0.7989
"7",0.7971
"8",0.7838
"9",0.7782
"10",0.7781
"11",0.778
"12",0.7756
"13",0.7655
"14",0.762
"15",0.7593
"16",0.7572
"17",0.7556
"18",0.7547
"19",0.7537
"20",0.7519
"21",0.7514
"22",0.749
"23",0.7471
"24",0.7423
"25",0.7414
"26",0.7369
"27",0.7359
"28",0.735
"29",0.733
"30",0.7321
"31",0.7305
"32",0.7304
"33",0.72835
"34",0.7274
"35",0.7264
"36",0.7247
"37",0.7224
"38",0.72035
"39",0.7201
"40",0.7191
"41",0.7156
"42",0.711
"43",0.7072
"44",0.7071
"45",0.7067
"46",0.7031
"47",0.7022
"48",0.7008
"49",0.7006
"50",0.6998
"51",0.6956
"52",0.6892
"53",0.6885
"54",0.6876
"55",0.6845
"56",0.683
"57",0.6805
"58",0.6774
"59",0.6772
"60",0.6759
"61",0.6749
"62",0.67305
"63",0.6704
"64",0.66965
"65",0.6676
"66",0.6653
"67",0.6622
"68",0.66175
"69",0.66085
"70",0.6601
"71",0.6591
"72",0.6579
"73",0.6562
"74",0.6553
"75",0.65325
"76",0.6528
"77",0.6467
"78",0.645
"79",0.6393
"80",0.6386
"81",0.6381
"82",0.63785
"83",0.6368
"84",0.6348
"85",0.6345
"86",0.63395
"87",0.63355
"88",0.6264
"89",0.6257
"90",0.6235
"91",0.6228
"92",0.6211
"93",0.6143
"94",0.6138
"95",0.6035
"96",0.5996
"97",0.59925
"98",0.5976
"99",0.57655
