"","x"
"1",0.66615625
"2",0.664
"3",0.661625
"4",0.65784375
"5",0.65509375
"6",0.651046875
"7",0.65028125
"8",0.65003125
"9",0.64278125
"10",0.642390625
"11",0.64009375
"12",0.638703125
"13",0.6381875
"14",0.6365625
"15",0.635859375
"16",0.635703125
"17",0.632125
"18",0.631796875
"19",0.630109375
"20",0.628734375
"21",0.62790625
"22",0.627328125
"23",0.62721875
"24",0.62603125
"25",0.62559375
"26",0.6255625
"27",0.6254609375
"28",0.625359375
"29",0.62365625
"30",0.6233671875
"31",0.622125
"32",0.621890625
"33",0.620234375
"34",0.619921875
"35",0.619125
"36",0.61775
"37",0.6167578125
"38",0.615265625
"39",0.615234375
"40",0.615015625
"41",0.61371875
"42",0.6131875
"43",0.612625
"44",0.61078125
"45",0.6095
"46",0.609015625
"47",0.60721875
"48",0.606453125
"49",0.605125
"50",0.60375
"51",0.603265625
"52",0.601984375
"53",0.6009375
"54",0.598359375
"55",0.59821875
"56",0.5981875
"57",0.597859375
"58",0.597828125
"59",0.596984375
"60",0.596515625
"61",0.5958125
"62",0.595515625
"63",0.594546875
"64",0.594359375
"65",0.593890625
"66",0.591578125
"67",0.59078125
"68",0.5905
"69",0.59003125
"70",0.58965625
"71",0.589171875
"72",0.58821875
"73",0.587859375
"74",0.587046875
"75",0.584359375
"76",0.5821171875
"77",0.581765625
"78",0.5813125
"79",0.580296875
"80",0.579546875
"81",0.579453125
"82",0.579203125
"83",0.5779375
"84",0.576171875
"85",0.5745625
"86",0.574390625
"87",0.573625
"88",0.573609375
"89",0.572046875
"90",0.570703125
"91",0.568921875
"92",0.568390625
"93",0.565390625
"94",0.565203125
"95",0.56515625
"96",0.562578125
"97",0.555390625
"98",0.555
"99",0.54271875
