"","x"
"1",0.900833333333333
"2",0.869
"3",0.854
"4",0.847333333333333
"5",0.847333333333333
"6",0.847083333333333
"7",0.833333333333333
"8",0.8295
"9",0.822333333333333
"10",0.818333333333333
"11",0.816
"12",0.810166666666667
"13",0.807416666666667
"14",0.807333333333333
"15",0.8045
"16",0.802666666666667
"17",0.797
"18",0.795333333333333
"19",0.79025
"20",0.789333333333333
"21",0.7835
"22",0.780666666666667
"23",0.7775
"24",0.776916666666667
"25",0.771666666666667
"26",0.7715
"27",0.768
"28",0.767583333333333
"29",0.761333333333333
"30",0.759
"31",0.755666666666667
"32",0.753
"33",0.744916666666667
"34",0.741166666666667
"35",0.74
"36",0.737083333333333
"37",0.736166666666667
"38",0.735083333333333
"39",0.734833333333333
"40",0.730666666666667
"41",0.729333333333333
"42",0.724333333333333
"43",0.714333333333333
"44",0.710666666666667
"45",0.709916666666667
"46",0.709833333333333
"47",0.705583333333333
"48",0.700833333333333
"49",0.700416666666667
"50",0.699916666666667
"51",0.699
"52",0.696666666666667
"53",0.6955
"54",0.694916666666667
"55",0.6945
"56",0.689583333333333
"57",0.68825
"58",0.68675
"59",0.685583333333333
"60",0.6835
"61",0.6755
"62",0.675083333333333
"63",0.675
"64",0.674833333333333
"65",0.673833333333333
"66",0.669666666666667
"67",0.66275
"68",0.6605
"69",0.656666666666667
"70",0.656583333333333
"71",0.655916666666667
"72",0.654916666666667
"73",0.653583333333333
"74",0.65225
"75",0.6515
"76",0.64725
"77",0.646833333333333
"78",0.6455
"79",0.63725
"80",0.630333333333333
"81",0.629416666666667
"82",0.629083333333333
"83",0.616083333333333
"84",0.60925
"85",0.603083333333333
"86",0.600583333333333
"87",0.584166666666667
"88",0.575583333333333
"89",0.541583333333333
"90",0.537083333333333
"91",0.518583333333333
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
