"","x"
"1",0.75272
"2",0.73952
"3",0.7339
"4",0.7244
"5",0.71928
"6",0.71408
"7",0.70772
"8",0.70536
"9",0.70124
"10",0.69972
"11",0.69764
"12",0.69732
"13",0.69652
"14",0.6956
"15",0.6952
"16",0.69256
"17",0.69226
"18",0.68988
"19",0.68756
"20",0.68688
"21",0.68604
"22",0.68564
"23",0.6806
"24",0.67898
"25",0.67844
"26",0.67736
"27",0.67728
"28",0.677
"29",0.6716
"30",0.67096
"31",0.67068
"32",0.66976
"33",0.66956
"34",0.6678
"35",0.66592
"36",0.66556
"37",0.66324
"38",0.6612
"39",0.66016
"40",0.65976
"41",0.65968
"42",0.65868
"43",0.65808
"44",0.65756
"45",0.65754
"46",0.65744
"47",0.65684
"48",0.65632
"49",0.65616
"50",0.65484
"51",0.65312
"52",0.65276
"53",0.65256
"54",0.64814
"55",0.6472
"56",0.64514
"57",0.64372
"58",0.63928
"59",0.63708
"60",0.63496
"61",0.6346
"62",0.63408
"63",0.63056
"64",0.6303
"65",0.63024
"66",0.62976
"67",0.62894
"68",0.6282
"69",0.627
"70",0.62654
"71",0.62544
"72",0.62492
"73",0.6202
"74",0.61936
"75",0.61828
"76",0.61714
"77",0.61422
"78",0.61328
"79",0.60896
"80",0.60116
"81",0.59728
"82",0.59634
"83",0.59304
"84",0.59
"85",0.58976
"86",0.58824
"87",0.5874
"88",0.587
"89",0.58532
"90",0.5766
"91",0.5738
"92",0.57188
"93",0.57096
"94",0.56944
"95",0.5652
"96",0.55364
"97",0.54598
"98",0.54584
"99",0.54512
