"","x"
"1",0.9514
"2",0.9444
"3",0.9326
"4",0.9234
"5",0.91
"6",0.9034
"7",0.8916
"8",0.8816
"9",0.8808
"10",0.8717
"11",0.8709
"12",0.8612
"13",0.8592
"14",0.8476
"15",0.8462
"16",0.8448
"17",0.8426
"18",0.8393
"19",0.8366
"20",0.8332
"21",0.8273
"22",0.8194
"23",0.8182
"24",0.807
"25",0.8044
"26",0.8008
"27",0.799
"28",0.7972
"29",0.7923
"30",0.791
"31",0.7862
"32",0.7836
"33",0.782
"34",0.7819
"35",0.7818
"36",0.7724
"37",0.764
"38",0.7509
"39",0.7508
"40",0.7496
"41",0.7489
"42",0.7486
"43",0.7432
"44",0.742
"45",0.7354
"46",0.7352
"47",0.7345
"48",0.7343
"49",0.7306
"50",0.7248
"51",0.7232
"52",0.7219
"53",0.72
"54",0.7172
"55",0.7168
"56",0.7122
"57",0.7069
"58",0.7062
"59",0.7024
"60",0.6997
"61",0.6942
"62",0.6938
"63",0.6938
"64",0.6928
"65",0.6778
"66",0.6758
"67",0.6755
"68",0.6745
"69",0.672
"70",0.6708
"71",0.6665
"72",0.6637
"73",0.6628
"74",0.6564
"75",0.6514
"76",0.6487
"77",0.6477
"78",0.6469
"79",0.6427
"80",0.6424
"81",0.6403
"82",0.6363
"83",0.6347
"84",0.6304
"85",0.6258
"86",0.6208
"87",0.6194
"88",0.6184
"89",0.5977
"90",0.5801
"91",0.5797
"92",0.5507
"93",0.5431
"94",0.5362
"95",0.5334
"96",0.5
"97",0.5
"98",0.5
"99",0.5
