"","x"
"1",0.85425
"2",0.83725
"3",0.7975
"4",0.7971875
"5",0.79075
"6",0.79
"7",0.7891875
"8",0.785375
"9",0.7814375
"10",0.780875
"11",0.775625
"12",0.775375
"13",0.760375
"14",0.759
"15",0.7530625
"16",0.74825
"17",0.7454375
"18",0.744125
"19",0.7410625
"20",0.74075
"21",0.7368125
"22",0.7365625
"23",0.734125
"24",0.7261875
"25",0.72575
"26",0.72375
"27",0.7203125
"28",0.717
"29",0.716125
"30",0.7148125
"31",0.712375
"32",0.7073125
"33",0.703625
"34",0.70325
"35",0.702625
"36",0.6979375
"37",0.6958125
"38",0.6925
"39",0.689625
"40",0.6851875
"41",0.6831875
"42",0.683
"43",0.68225
"44",0.6810625
"45",0.67975
"46",0.6774375
"47",0.6769375
"48",0.674625
"49",0.6734375
"50",0.6708125
"51",0.667875
"52",0.6641875
"53",0.664125
"54",0.6638125
"55",0.6579375
"56",0.6571875
"57",0.6565
"58",0.6525625
"59",0.646875
"60",0.645375
"61",0.641125
"62",0.641
"63",0.640125
"64",0.639375
"65",0.6339375
"66",0.6314375
"67",0.6269375
"68",0.6245625
"69",0.6205625
"70",0.6186875
"71",0.617875
"72",0.617875
"73",0.6158125
"74",0.6156875
"75",0.6140625
"76",0.6035
"77",0.597
"78",0.5896875
"79",0.57025
"80",0.5678125
"81",0.5666875
"82",0.538625
"83",0.5318125
"84",0.5
"85",0.5
"86",0.5
"87",0.5
"88",0.5
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.4949375
