"","x"
"1",0.846
"2",0.828
"3",0.82725
"4",0.827125
"5",0.819625
"6",0.819
"7",0.814125
"8",0.8034375
"9",0.798625
"10",0.7965
"11",0.79575
"12",0.7900625
"13",0.78725
"14",0.780875
"15",0.7806875
"16",0.77725
"17",0.776125
"18",0.769625
"19",0.7685
"20",0.766625
"21",0.763
"22",0.7575625
"23",0.756625
"24",0.7565625
"25",0.75575
"26",0.7515625
"27",0.7485
"28",0.74725
"29",0.74625
"30",0.7415
"31",0.7360625
"32",0.7346875
"33",0.7333125
"34",0.7286875
"35",0.728125
"36",0.7254375
"37",0.725375
"38",0.72375
"39",0.719125
"40",0.7166875
"41",0.7153125
"42",0.71175
"43",0.7115
"44",0.70725
"45",0.7025
"46",0.70225
"47",0.701
"48",0.6990625
"49",0.698625
"50",0.6908125
"51",0.690375
"52",0.686375
"53",0.683375
"54",0.68225
"55",0.68
"56",0.6780625
"57",0.676125
"58",0.67575
"59",0.6748125
"60",0.6746875
"61",0.6744375
"62",0.673875
"63",0.656
"64",0.65125
"65",0.65075
"66",0.649
"67",0.6488125
"68",0.6476875
"69",0.644125
"70",0.6425
"71",0.6419375
"72",0.6418125
"73",0.6401875
"74",0.635625
"75",0.634375
"76",0.626
"77",0.61975
"78",0.6188125
"79",0.6185
"80",0.612375
"81",0.6078125
"82",0.60475
"83",0.6015625
"84",0.595875
"85",0.5929375
"86",0.589375
"87",0.57775
"88",0.5703125
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
