"","x"
"1",0.74688
"2",0.73748
"3",0.7306
"4",0.72284
"5",0.71512
"6",0.702
"7",0.69796
"8",0.6966
"9",0.69412
"10",0.69176
"11",0.69156
"12",0.69036
"13",0.68964
"14",0.68592
"15",0.68506
"16",0.68496
"17",0.68236
"18",0.68044
"19",0.67956
"20",0.67736
"21",0.67628
"22",0.67548
"23",0.67232
"24",0.67204
"25",0.6714
"26",0.66744
"27",0.66712
"28",0.66712
"29",0.66428
"30",0.66396
"31",0.65932
"32",0.65852
"33",0.65788
"34",0.65728
"35",0.657
"36",0.6568
"37",0.655
"38",0.65476
"39",0.65472
"40",0.65244
"41",0.65188
"42",0.65032
"43",0.64852
"44",0.64764
"45",0.64524
"46",0.64472
"47",0.64456
"48",0.64424
"49",0.64356
"50",0.64324
"51",0.64208
"52",0.64128
"53",0.64092
"54",0.63936
"55",0.6392
"56",0.6382
"57",0.63804
"58",0.63688
"59",0.63632
"60",0.63588
"61",0.63512
"62",0.63456
"63",0.62952
"64",0.62762
"65",0.62628
"66",0.6252
"67",0.62372
"68",0.62132
"69",0.6212
"70",0.61964
"71",0.61912
"72",0.61888
"73",0.61688
"74",0.61484
"75",0.61264
"76",0.61036
"77",0.60644
"78",0.6056
"79",0.60498
"80",0.60164
"81",0.60016
"82",0.59968
"83",0.59964
"84",0.59628
"85",0.5954
"86",0.59504
"87",0.59312
"88",0.59
"89",0.58872
"90",0.58472
"91",0.58196
"92",0.57588
"93",0.57474
"94",0.57176
"95",0.57116
"96",0.56288
"97",0.55868
"98",0.52552
"99",0.50504
