"","x"
"1",0.977
"2",0.9656
"3",0.9488
"4",0.9292
"5",0.9149
"6",0.9122
"7",0.8972
"8",0.892
"9",0.8877
"10",0.8868
"11",0.8829
"12",0.8794
"13",0.8699
"14",0.8657
"15",0.8641
"16",0.864
"17",0.8638
"18",0.8631
"19",0.8586
"20",0.8558
"21",0.8543
"22",0.8526
"23",0.8502
"24",0.841
"25",0.8372
"26",0.8364
"27",0.8362
"28",0.832
"29",0.8292
"30",0.8292
"31",0.8292
"32",0.8268
"33",0.8236
"34",0.8202
"35",0.8193
"36",0.8166
"37",0.8113
"38",0.811
"39",0.8103
"40",0.81
"41",0.8089
"42",0.7951
"43",0.7902
"44",0.7898
"45",0.7883
"46",0.787
"47",0.7864
"48",0.7842
"49",0.7842
"50",0.78
"51",0.7754
"52",0.7732
"53",0.7726
"54",0.7604
"55",0.7579
"56",0.755
"57",0.7507
"58",0.7492
"59",0.749
"60",0.7485
"61",0.7476
"62",0.7466
"63",0.7449
"64",0.7435
"65",0.738
"66",0.7364
"67",0.7218
"68",0.721
"69",0.7174
"70",0.7172
"71",0.7098
"72",0.7055
"73",0.7022
"74",0.701
"75",0.7
"76",0.6994
"77",0.6968
"78",0.6965
"79",0.6938
"80",0.6932
"81",0.6915
"82",0.6911
"83",0.6806
"84",0.6731
"85",0.6699
"86",0.6672
"87",0.6517
"88",0.6482
"89",0.6416
"90",0.6393
"91",0.6336
"92",0.6323
"93",0.6154
"94",0.5858
"95",0.5837
"96",0.5813
"97",0.5695
"98",0.5
"99",0.4776
