"","x"
"1",0.847714285714286
"2",0.830142857142857
"3",0.818
"4",0.799285714285714
"5",0.793
"6",0.783214285714286
"7",0.781571428571429
"8",0.78
"9",0.778857142857143
"10",0.777
"11",0.773428571428571
"12",0.771
"13",0.768571428571429
"14",0.764785714285714
"15",0.762285714285714
"16",0.761142857142857
"17",0.758571428571429
"18",0.757142857142857
"19",0.755857142857143
"20",0.755285714285714
"21",0.750571428571429
"22",0.748857142857143
"23",0.748357142857143
"24",0.746857142857143
"25",0.745357142857143
"26",0.743071428571429
"27",0.741
"28",0.739357142857143
"29",0.737642857142857
"30",0.737285714285714
"31",0.728857142857143
"32",0.727071428571429
"33",0.726428571428571
"34",0.723714285714286
"35",0.722714285714286
"36",0.719428571428571
"37",0.718714285714286
"38",0.716285714285714
"39",0.714285714285714
"40",0.713214285714286
"41",0.710142857142857
"42",0.708357142857143
"43",0.708357142857143
"44",0.707
"45",0.706785714285714
"46",0.704857142857143
"47",0.700857142857143
"48",0.699428571428571
"49",0.696071428571429
"50",0.695357142857143
"51",0.694642857142857
"52",0.694
"53",0.691571428571429
"54",0.684571428571429
"55",0.683571428571429
"56",0.683428571428571
"57",0.682571428571429
"58",0.682
"59",0.671857142857143
"60",0.671
"61",0.666857142857143
"62",0.665928571428571
"63",0.665
"64",0.664857142857143
"65",0.662714285714286
"66",0.662
"67",0.661928571428571
"68",0.661071428571429
"69",0.659857142857143
"70",0.658857142857143
"71",0.656357142857143
"72",0.650285714285714
"73",0.647571428571429
"74",0.642714285714286
"75",0.635571428571429
"76",0.6315
"77",0.630428571428571
"78",0.6265
"79",0.626357142857143
"80",0.613214285714286
"81",0.608857142857143
"82",0.605928571428571
"83",0.6045
"84",0.6015
"85",0.600928571428571
"86",0.594428571428571
"87",0.592
"88",0.588142857142857
"89",0.576214285714286
"90",0.560285714285714
"91",0.553785714285714
"92",0.548714285714286
"93",0.536928571428571
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.478642857142857
"99",0.404928571428571
