"","x"
"1",0.746916666666667
"2",0.734708333333333
"3",0.72725
"4",0.723833333333333
"5",0.721666666666667
"6",0.717041666666667
"7",0.715166666666667
"8",0.712541666666667
"9",0.704333333333333
"10",0.702041666666667
"11",0.6995
"12",0.699416666666667
"13",0.699125
"14",0.6955
"15",0.694958333333333
"16",0.694583333333333
"17",0.69125
"18",0.691229166666667
"19",0.690083333333333
"20",0.689791666666667
"21",0.689395833333333
"22",0.688541666666667
"23",0.687666666666667
"24",0.687541666666667
"25",0.686625
"26",0.6858125
"27",0.680458333333333
"28",0.679958333333333
"29",0.67725
"30",0.674958333333333
"31",0.673583333333333
"32",0.673
"33",0.672958333333333
"34",0.67225
"35",0.669416666666667
"36",0.667416666666667
"37",0.666625
"38",0.660041666666667
"39",0.659541666666667
"40",0.659333333333333
"41",0.657708333333333
"42",0.652708333333333
"43",0.650791666666667
"44",0.649291666666667
"45",0.647541666666667
"46",0.64225
"47",0.641541666666667
"48",0.64125
"49",0.638958333333333
"50",0.638958333333333
"51",0.638375
"52",0.636625
"53",0.636375
"54",0.633291666666667
"55",0.632583333333333
"56",0.632375
"57",0.632333333333333
"58",0.630208333333333
"59",0.628125
"60",0.626125
"61",0.625708333333333
"62",0.62375
"63",0.6236875
"64",0.618375
"65",0.615375
"66",0.61525
"67",0.6138125
"68",0.608125
"69",0.606958333333333
"70",0.606416666666667
"71",0.6045
"72",0.604
"73",0.603125
"74",0.602125
"75",0.60125
"76",0.596458333333333
"77",0.5955625
"78",0.595125
"79",0.594333333333333
"80",0.593833333333333
"81",0.593375
"82",0.586416666666667
"83",0.586041666666667
"84",0.585229166666667
"85",0.580291666666667
"86",0.579583333333333
"87",0.578875
"88",0.578416666666667
"89",0.574166666666667
"90",0.57225
"91",0.571625
"92",0.567270833333333
"93",0.5668125
"94",0.566083333333333
"95",0.564166666666667
"96",0.554416666666667
"97",0.541979166666667
"98",0.5281875
"99",0.524375
